# Intermediate CAs in the cabinet that this store does not carry, with the reason.
# Written by certval-store-gen; a change here is a change in what the publisher ships,
# not in this crate.
#
# unrooted     the cabinet includes the CA but not its issuer, so nothing roots it
# unvalidated  a path to a root exists and none validated as of the publication date;
#              an InvalidNotAfterDate here is a CA the publisher shipped already lapsed
unvalidated  Microsoft_EUS-IFX-KeyId-8FFD47880E239A3A3A20DE13EDF101E882A9D21D_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-14B8E7137FA99526C4717DFA881B24936BBC6BD0_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-2CFCF43B16C8BFC78249CC971EE57324D639F079_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-30B86F094DA6ABD52371043F2BF7668C783F0E66_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-31734D6F8AEA913A0A31180B785CC0630894CC7B_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-51C73CBCDFC990AA677417CD5F78BA37D4A8D731_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-5E73C89AA3E902B272B9F0741F7D8730E3EC724A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-6CA9DF62A1AAE23E0FEB7C3F5EB8E61ECAC17CB7_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-B99E979AAE48774EA2EFCA9BF9AD5B04040DC10A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-D73CFE5A9E0180801181A1444DE36EFBF88BA16E_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-INTC-KEYID-F99F207DFC8797BFF90D641D25FD5A45F76310B8_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-NTC-KEYID-08300F43A8F4B8C8E624A4F7060CF59E745015E7_2  Some(PathValidation(InvalidNotAfterDate))
